"region","physical_pc","virtual_pc","instructions"
"ROME","0xeb9a9e","0x6a9e","30"
"ROME","0xeb9acc","0x6acc","30"
"ROME","0xebeb58","0x7b58","30"
"ROME","0xec216e","0x716e","30"
"ROME","0xeaa6f1","0xf6f1","28"
"ROME","0xeb5c56","0x6c56","28"
"ROME","0xeb6a3b","0x7a3b","28"
"ROME","0xeb6a7c","0x7a7c","28"
"ROME","0xeb5c80","0x6c80","27"
"ROME","0xeb6aa6","0x7aa6","27"
"ROME","0xec2d70","0x7d70","27"
"ROME","0xeb7383","0x8383","26"
"ROME","0xec035c","0x535c","26"
"ROME","0xec0def","0x5def","26"
"ROME","0xec10b3","0x60b3","26"
"ROME","0xed6702","0x7702","26"
"ROME","0xec2e62","0x7e62","25"
"ROME","0xea801f","0xd01f","24"
"ROME","0xeb58ce","0x68ce","24"
"ROME","0xeb5a1c","0x6a1c","24"
"ROME","0xeb61ab","0x71ab","24"
"ROME","0xeb696b","0x796b","24"
"ROME","0xeb8dca","0x5dca","24"
"ROME","0xec004a","0x504a","24"
"ROME","0xed5a72","0x6a72","24"
"ROME","0xeb0028","0x5028","23"
"ROME","0xeb7417","0x8417","22"
"ROME","0xeb7841","0x8841","22"
"ROME","0xec4000","0x5000","22"
"ROME","0xeb1132","0x6132","21"
"ROME","0xeb739b","0x839b","20"
"ROME","0xea8000","0xd000","18"
"ROME","0xea8c7b","0xdc7b","18"
"ROME","0xed44ca","0x54ca","18"
"ROME","0xed5150","0x6150","18"
"ROME","0xed6498","0x7498","18"
"ROME","0xec214a","0x714a","17"
"ROME","0xea8007","0xd007","16"
"ROME","0xea802f","0xd02f","16"
"ROME","0xea8bc1","0xdbc1","16"
"ROME","0xeaa849","0xf849","16"
"ROME","0xeb785f","0x885f","16"
"ROME","0xed64b6","0x74b6","16"
"ROME","0xed64b9","0x74b9","16"
"ROME","0xed64cd","0x74cd","16"
"ROME","0xeb6973","0x7973","15"
"ROME","0xeaa708","0xf708","14"
"ROME","0xeb5a24","0x6a24","14"
"ROME","0xeb73f4","0x83f4","14"
"ROME","0xec1cbb","0x6cbb","14"
"ROME","0xed50c5","0x60c5","14"
"ROME","0xed5528","0x6528","14"
"ROME","0xed553b","0x653b","14"
"ROME","0xed554e","0x654e","14"
"ROME","0xed5561","0x6561","14"
"ROME","0xed5574","0x6574","14"
"ROME","0xed5e50","0x6e50","14"
"ROME","0xea8b19","0xdb19","13"
"ROME","0xeb61b3","0x71b3","13"
"ROME","0xec1bb6","0x6bb6","13"
"ROME","0xea81a1","0xd1a1","12"
"ROME","0xea8cae","0xdcae","12"
"ROME","0xeb6212","0x7212","12"
"ROME","0xeb737b","0x837b","12"
"ROME","0xeb73c8","0x83c8","12"
"ROME","0xeb73d0","0x83d0","12"
"ROME","0xeb8df2","0x5df2","12"
"ROME","0xebeb50","0x7b50","12"
"ROME","0xebeb6f","0x7b6f","12"
"ROME","0xec000d","0x500d","12"
"ROME","0xec001a","0x501a","12"
"ROME","0xec0027","0x5027","12"
"ROME","0xed50b6","0x60b6","12"
"ROME","0xed511c","0x611c","12"
"ROME","0xed5e60","0x6e60","12"
"ROME","0xed644f","0x744f","12"
"ROME","0xeb115d","0x615d","11"
"ROME","0xeb11e0","0x61e0","11"
"ROME","0xeb5a57","0x6a57","11"
"ROME","0xeb609c","0x709c","11"
"ROME","0xeb61e0","0x71e0","11"
"ROME","0xeb6239","0x7239","11"
"ROME","0xeb69aa","0x79aa","11"
"ROME","0xeb7662","0x8662","11"
"ROME","0xec11bd","0x61bd","11"
"ROME","0xed5a6b","0x6a6b","11"
"ROME","0xea8be1","0xdbe1","10"
"ROME","0xea8be6","0xdbe6","10"
"ROME","0xeaa8d7","0xf8d7","10"
"ROME","0xeaa8f7","0xf8f7","10"
"ROME","0xebecc6","0x7cc6","10"
"ROME","0xec0034","0x5034","10"
"ROME","0xec003f","0x503f","10"
"ROME","0xec1cb0","0x6cb0","10"
"ROME","0xec1cc9","0x6cc9","10"
"ROME","0xed5e6d","0x6e6d","10"
"ROME","0xeb6824","0x7824","9"
"ROME","0xeb7693","0x8693","9"
"ROME","0xeb76ae","0x86ae","9"
"ROME","0xeb76c9","0x86c9","9"
"ROME","0xeb76e4","0x86e4","9"
"ROME","0xeb997e","0x697e","9"
"ROME","0xec1474","0x6474","9"
"ROME","0xec14af","0x64af","9"
"ROME","0xec1535","0x6535","9"
"ROME","0xec157e","0x657e","9"
"ROME","0xec169c","0x669c","9"
"ROME","0xec2e92","0x7e92","9"
"ROME","0xec2eb3","0x7eb3","9"
"ROME","0xeaa857","0xf857","8"
"ROME","0xeaa8ff","0xf8ff","8"
"ROME","0xeb99e9","0x69e9","8"
"ROME","0xebed0f","0x7d0f","8"
"ROME","0xebed89","0x7d89","8"
"ROME","0xebedc4","0x7dc4","8"
"ROME","0xec0003","0x5003","8"
"ROME","0xed504c","0x604c","8"
"ROME","0xed646b","0x746b","8"
"ROME","0xed648d","0x748d","8"
"ROME","0xeb68b7","0x78b7","7"
"ROME","0xeb75db","0x85db","7"
"ROME","0xeb9992","0x6992","7"
"ROME","0xec2da1","0x7da1","7"
"ROME","0xec2daf","0x7daf","7"
"ROME","0xec2ea5","0x7ea5","7"
"ROME","0xea8cab","0xdcab","6"
"ROME","0xeb74e9","0x84e9","6"
"ROME","0xeb75ee","0x85ee","6"
"ROME","0xeb99db","0x69db","6"
"ROME","0xeb99e2","0x69e2","6"
"ROME","0xeb99f1","0x69f1","6"
"ROME","0xeb99f8","0x69f8","6"
"ROME","0xeb9a40","0x6a40","6"
"ROME","0xeb9a6e","0x6a6e","6"
"ROME","0xeb9a9c","0x6a9c","6"
"ROME","0xeb9aca","0x6aca","6"
"ROME","0xebeb4c","0x7b4c","6"
"ROME","0xebecff","0x7cff","6"
"ROME","0xec17f3","0x67f3","6"
"ROME","0xed50af","0x60af","6"
"ROME","0xed5e67","0x6e67","6"
"ROME","0xea8bf1","0xdbf1","5"
"ROME","0xea990a","0xe90a","5"
"ROME","0xeb608b","0x708b","5"
"ROME","0xeb684a","0x784a","5"
"ROME","0xeb68a9","0x78a9","5"
"ROME","0xeb7606","0x8606","5"
"ROME","0xeb7682","0x8682","5"
"ROME","0xec10e5","0x60e5","5"
"ROME","0xec10f7","0x60f7","5"
"ROME","0xec1109","0x6109","5"
"ROME","0xeaa8d3","0xf8d3","4"
"ROME","0xeb972b","0x672b","4"
"ROME","0xeb9730","0x6730","4"
"ROME","0xeb9735","0x6735","4"
"ROME","0xeb98ae","0x68ae","4"
"ROME","0xeb98d6","0x68d6","4"
"ROME","0xeb9900","0x6900","4"
"ROME","0xeb9956","0x6956","4"
"ROME","0xebeaf6","0x7af6","4"
"ROME","0xebed2d","0x7d2d","4"
"ROME","0xec0dea","0x5dea","4"
"ROME","0xed5523","0x6523","4"
"ROME","0xed6476","0x7476","4"
"ROME","0xed64f2","0x74f2","4"
"ROME","0xed66f6","0x76f6","4"
"ROME","0xed671d","0x771d","4"
"ROME","0xeaa650","0xf650","3"
"ROME","0xeaa86c","0xf86c","3"
"ROME","0xeb1435","0x6435","3"
"ROME","0xeb690c","0x790c","3"
"ROME","0xeb9af8","0x6af8","3"
"ROME","0xeb9b00","0x6b00","3"
"ROME","0xeb9b08","0x6b08","3"
"ROME","0xeb9b10","0x6b10","3"
"ROME","0xebe97b","0x797b","3"
"ROME","0xebeacf","0x7acf","3"
"ROME","0xebeb0a","0x7b0a","3"
"ROME","0xec0e02","0x5e02","3"
"ROME","0xec11f2","0x61f2","3"
"ROME","0xec133b","0x633b","3"
"ROME","0xec1448","0x6448","3"
"ROME","0xec147b","0x647b","3"
"ROME","0xec14b6","0x64b6","3"
"ROME","0xec1508","0x6508","3"
"ROME","0xec153c","0x653c","3"
"ROME","0xec1585","0x6585","3"
"ROME","0xec16a3","0x66a3","3"
"ROME","0xec16eb","0x66eb","3"
"ROME","0xea8004","0xd004","2"
"ROME","0xeb6839","0x7839","2"
"ROME","0xeb6855","0x7855","2"
"ROME","0xeb767c","0x867c","2"
"ROME","0xeb768d","0x868d","2"
"ROME","0xeb7772","0x8772","2"
"ROME","0xeb8c6a","0x5c6a","2"
"ROME","0xeb924d","0x624d","2"
"ROME","0xeb9252","0x6252","2"
"ROME","0xeb9257","0x6257","2"
"ROME","0xeb925c","0x625c","2"
"ROME","0xeb9261","0x6261","2"
"ROME","0xeb9266","0x6266","2"
"ROME","0xeb926b","0x626b","2"
"ROME","0xeb9270","0x6270","2"
"ROME","0xeb9275","0x6275","2"
"ROME","0xeb96d6","0x66d6","2"
"ROME","0xeb96db","0x66db","2"
"ROME","0xeb96e0","0x66e0","2"
"ROME","0xeb96e5","0x66e5","2"
"ROME","0xeb96ea","0x66ea","2"
"ROME","0xeb96ef","0x66ef","2"
"ROME","0xeb96f4","0x66f4","2"
"ROME","0xeb96f9","0x66f9","2"
"ROME","0xeb96fe","0x66fe","2"
"ROME","0xeb9703","0x6703","2"
"ROME","0xeb9708","0x6708","2"
"ROME","0xeb970d","0x670d","2"
"ROME","0xeb9712","0x6712","2"
"ROME","0xeb9717","0x6717","2"
"ROME","0xeb971c","0x671c","2"
"ROME","0xeb9721","0x6721","2"
"ROME","0xeb9726","0x6726","2"
"ROME","0xeb974e","0x674e","2"
"ROME","0xeb98dd","0x68dd","2"
"ROME","0xeb98e2","0x68e2","2"
"ROME","0xeb98e7","0x68e7","2"
"ROME","0xeb98ec","0x68ec","2"
"ROME","0xeb98f1","0x68f1","2"
"ROME","0xeb98f6","0x68f6","2"
"ROME","0xeb98fb","0x68fb","2"
"ROME","0xeb9908","0x6908","2"
"ROME","0xeb990c","0x690c","2"
"ROME","0xeb9910","0x6910","2"
"ROME","0xeb9914","0x6914","2"
"ROME","0xeb9918","0x6918","2"
"ROME","0xeb991c","0x691c","2"
"ROME","0xeb9920","0x6920","2"
"ROME","0xeb9a3f","0x6a3f","2"
"ROME","0xebeaf2","0x7af2","2"
"ROME","0xebeb16","0x7b16","2"
"ROME","0xec0000","0x5000","2"
"ROME","0xec005f","0x505f","2"
"ROME","0xec0359","0x5359","2"
"ROME","0xec0d88","0x5d88","2"
"ROME","0xed44e0","0x54e0","2"
"ROME","0xed50d6","0x60d6","2"
"ROME","0xed5166","0x6166","2"
"ROME","0xed5587","0x6587","2"
"ROME","0xed5e4d","0x6e4d","2"
"ROME","0xed5e79","0x6e79","2"
"ROME","0xed645e","0x745e","2"
"ROME","0xed6461","0x7461","2"
"ROME","0xed6464","0x7464","2"
"ROME","0xed646a","0x746a","2"
"ROME","0xed64ef","0x74ef","2"
"ROME","0xed652d","0x752d","2"
"ROME","0xed66fc","0x76fc","2"
"ROME","0xed66ff","0x76ff","2"
"ROME","0xeb1158","0x6158","1"
"ROME","0xeb1173","0x6173","1"
"ROME","0xeb11ca","0x61ca","1"
"ROME","0xeb11cc","0x61cc","1"
"ROME","0xeb11f6","0x61f6","1"
"ROME","0xeb11fd","0x61fd","1"
"ROME","0xeb11ff","0x61ff","1"
"ROME","0xeb131e","0x631e","1"
"ROME","0xeb6094","0x7094","1"
"ROME","0xeb68ca","0x78ca","1"
"ROME","0xeb6a9b","0x7a9b","1"
"ROME","0xeb7634","0x8634","1"
"ROME","0xeb76ff","0x86ff","1"
"ROME","0xeb927a","0x627a","1"
"ROME","0xeb9924","0x6924","1"
"ROME","0xeb99a3","0x69a3","1"
"ROME","0xeb9b18","0x6b18","1"
"ROME","0xebeb09","0x7b09","1"
"ROME","0xec10b0","0x60b0","1"
"ROME","0xec10ee","0x60ee","1"
"ROME","0xec1100","0x6100","1"
"ROME","0xec1112","0x6112","1"
"ROME","0xec1118","0x6118","1"
"ROME","0xec216b","0x716b","1"
"ROME","0xec2dbd","0x7dbd","1"
"ROME","0xec2e08","0x7e08","1"
"ROME","0xec2e0a","0x7e0a","1"
"ROME","0xed5a80","0x6a80","1"
